index,open,high,low,close
2019/8/2,10411.96,10668.87,10331.18,10399.38
2019/8/4,10943.38,11003.81,10922.94,10945.5
2019/8/5,10943.38,11946.76,10794.64,11723.69
2019/8/6,11723.69,12316.05,11538.2,11643.41
2019/8/7,11643.41,12144.38,11208.6,11863.77
2019/8/8,11863.79,12066.93,11484.2,11595.78
2019/8/9,11595.8,12053.7,11588,11864.63
2019/8/11,11378.2,11424.43,11286.19,11409.65
2019/8/12,11378.2,11580.49,11233.94,11418.31
2019/8/13,11418.31,11439.9,10746.55,10882.13
2019/8/14,10882.13,10892,10033.48,10171.6
2019/8/15,10171.6,10393.35,9492.73,10372.72
2019/8/16,10372.72,10539.86,9747.75,10395.4
2019/8/18,10388.2,10421.01,10324.64,10363.71
2019/8/19,10388.2,10836.1,10271.93,10678.85
2019/8/20,10678.83,10954.77,10566.23,10706.71
2019/8/21,10706.68,10841.6,9855.38,10155.19
2019/8/22,10155.19,10236.32,9758.78,10182.76
2019/8/23,10182.76,10469.58,10046.28,10361.52
2019/8/25,10079.81,10124,9964.11,9998.22
2019/8/26,10079.81,10655.39,9912.51,10265.73
2019/8/27,10265.73,10395.48,10029.95,10143.08
2019/8/28,10143.08,10280.6,9575.46,9669.45
2019/8/29,9669.49,9748.38,9323.98,9526.03
2019/8/30,9526.03,9699.1,9365.77,9626.18
2019/9/1,9613.4,9643.11,9595.68,9638.82
2019/9/2,9613.4,10469.8,9595.68,10408.87
2019/9/3,10408.84,10775.92,10290.73,10712.47
2019/9/4,10712.47,10827.08,10385.72,10626.01
2019/9/5,10626.01,10696.32,10461.67,10518.1
2019/9/6,10518.1,10941.17,10205.68,10356.88
2019/9/8,10346.98,10380.35,10331.8,10366.7
2019/9/9,10346.98,10530.31,10068.63,10237.89
2019/9/10,10237.89,10386.29,9938.37,10052.99
2019/9/11,10055.1,10253.5,9867.05,10099.08
2019/9/12,10099.08,10374.21,10034.15,10331.07
2019/9/13,10331.07,10464.41,10163.28,10270.67
2019/9/15,10302.28,10319.53,10271.71,10275.78
2019/9/16,10302.28,10374.51,10080.7,10215.87
2019/9/17,10215.87,10344.75,10138.13,10250.3
2019/9/18,10250.28,10262.03,10094.5,10196.93
2019/9/19,10196.9,10364.4,9644.85,10258.85
2019/9/20,10258.9,10314.63,10069.71,10135.94
2019/9/22,9974.4,10022.94,9969.19,10008.8
2019/9/23,9974.4,10075.04,9695.95,9765.49
2019/9/24,9765.49,9817.6,8087.91,8582
2019/9/25,8582,8799.13,8229.96,8511.8
2019/9/26,8510.6,8656.05,7736.71,8094.12
2019/9/27,8094.12,8133.01,7867.46,8060.97
2019/9/29,7985.69,8020.45,7930.48,8013.75
2019/9/30,7985.69,8363.78,7725.63,8240.9
2019/10/1,8240.9,8531.33,8194.37,8380.24
2019/10/2,8380.24,8417.14,8176.76,8235.09
2019/10/3,8235.09,8418.12,8091.34,8161.33
2019/10/4,8161.33,8297.11,8029.15,8163.13
2019/10/6,7999.8,8010.83,7799.6,7905.215
2019/10/7,7999.8,8313.25,7770,8041.625
2019/10/8,8218.02,8344.31,8113.55,8228.93
2019/10/9,8129.51,8692.79,8120.4,8590.16
2019/10/10,8590.19,8660.73,8457.01,8580.86
2019/10/11,8580.94,8810.81,8288.27,8342.93
2019/10/13,8431.49,8451.85,8171.63,8263.34
2019/10/14,8431.49,8451.85,8171.63,8343.42
2019/10/15,8343.42,8418.35,8096.59,8144.33
2019/10/16,8144.33,8187.83,7916.05,7988.24
2019/10/17,7988.24,8127.42,7940.91,8046.49
2019/10/18,8046.49,8118.67,7829.7,7947.7
2019/10/20,8151.83,8311.88,8143.47,8226.5
2019/10/21,8151.83,8346.52,8143.47,8207.68
2019/10/22,8208.39,8313.89,8084.13,8125.1
2019/10/23,8125.1,8161.08,7305.45,7491.38
2019/10/24,7491.38,7510.74,7360.17,7456.59
2019/10/25,7456.58,8784.13,7397.6,8574.4
2019/10/27,9691.59,9808.38,9576.1,9623.68
2019/10/28,9691.59,9933.83,9267.87,9456.3
2019/10/29,9456.3,9560.25,9085.16,9446.04
2019/10/30,9446.04,9472,9000.1,9184.99
2019/10/31,9184.99,9427.01,8960.83,9189.42
2019/11/1,9189.42,9299.49,9054.7,9212.68
2019/11/3,9163,9176.03,9080.13,9157.7
2019/11/4,9163,9585.95,9080.13,9443.36
2019/11/5,9443.36,9481.71,9186.2,9357.06
2019/11/6,9357.06,9448.42,9258.9,9314.92
2019/11/7,9314.92,9372.21,9086.7,9209.87
2019/11/8,9209.87,9271.86,8679.32,8866.55
2019/11/10,9040.86,9065.21,9025.24,9042.05
2019/11/11,9040.86,9099.87,8611.01,8736.17
